Player,Team,Attacking Impact ML,Defensive Impact ML,Misc Impact,Total Impact (ML)
Mohamed Salah,Liverpool,8.55,-2.69,-0.52,5.34
Luis Díaz,Liverpool,8.21,-1.15,-0.51,6.55
Trent Alexander-Arnold,Liverpool,7.68,0.19,1.34,9.21
Diogo Jota,Liverpool,7.55,-1.81,-1.23,4.51
Darwin Núñez,Liverpool,7.52,-2.33,-1.44,3.75
Alexis Mac Allister,Liverpool,7.44,0.47,0.34,8.25
Cody Gakpo,Liverpool,7.27,-2.14,-0.24,4.89
Alexander Isak,Newcastle Utd,7.15,-3.96,-0.84,2.35
Rodrigo Muniz,Fulham,7.12,-3.82,-0.58,2.72
Dominik Szoboszlai,Liverpool,7.11,-1.99,0.12,5.24
Michael Kayode,Brentford,7.04,-0.14,-0.36,6.54
Jacob Murphy,Newcastle Utd,7.01,-2.27,-0.14,4.6
Riccardo Calafiori,Arsenal,6.94,-0.46,0.05,6.53
Bukayo Saka,Arsenal,6.93,-1.87,0.28,5.34
Adam Webster,Brighton,6.85,-2.94,2.03,5.94
Jeremy Doku,Manchester City,6.81,-0.58,-0.32,5.91
Virgil van Dijk,Liverpool,6.79,-2.2,2.57,7.16
Alisson,Liverpool,6.78,-3.04,1.41,5.15
Ryan Gravenberch,Liverpool,6.77,-1.42,0.82,6.17
Ryan Sessegnon,Fulham,6.59,-1.19,-1.73,3.67
Marco Asensio,Aston Villa,6.56,-2.57,-0.09,3.9
Richarlison,Tottenham,6.53,-3.58,-0.24,2.71
Omar Marmoush,Manchester City,6.53,-2.08,-0.64,3.81
Filip Jørgensen,Chelsea,6.5,-4.45,1.0,3.05
Martin Dúbravka,Newcastle Utd,6.47,-3.47,1.4,4.4
Cole Palmer,Chelsea,6.38,-2.75,0.96,4.59
John Stones,Manchester City,6.36,-3.62,1.98,4.72
Timo Werner,Tottenham,6.36,-5.1,-0.1,1.16
Ibrahima Konaté,Liverpool,6.35,-1.56,2.07,6.86
İlkay Gündoğan,Manchester City,6.34,-3.05,1.5,4.79
Mateo Kovačić,Manchester City,6.34,-1.29,1.72,6.77
Jack Grealish,Manchester City,6.32,-3.04,1.51,4.79
James Maddison,Tottenham,6.3,-3.43,1.64,4.51
Gabriel Jesus,Arsenal,6.28,-2.92,-1.14,2.22
Kai Havertz,Arsenal,6.2,-2.19,-0.97,3.04
Mats Wieffer,Brighton,6.19,-0.94,0.16,5.41
Christopher Nkunku,Chelsea,6.19,-3.47,-0.48,2.24
Curtis Jones,Liverpool,6.19,-2.25,0.85,4.79
Son Heung-min,Tottenham,6.15,-4.12,0.57,2.6
Micky van de Ven,Tottenham,6.15,-3.19,2.3,5.26
Nicolás González,Manchester City,6.13,-1.7,0.71,5.14
Brajan Gruda,Brighton,6.13,-3.13,-0.27,2.73
Nicolas Jackson,Chelsea,6.09,-2.35,-1.16,2.58
Jarrod Bowen,West Ham,6.07,-2.83,-0.2,3.04
Ollie Watkins,Aston Villa,6.06,-3.73,-0.74,1.59
Kieran Trippier,Newcastle Utd,6.06,-1.44,1.67,6.29
Ian Maatsen,Aston Villa,6.04,-1.92,0.24,4.36
Noni Madueke,Chelsea,6.04,-2.6,-0.34,3.1
Harvey Barnes,Newcastle Utd,6.01,-2.94,-0.05,3.02
Manuel Akanji,Manchester City,6.01,-3.04,2.16,5.13
Bryan Mbeumo,Brentford,6.0,-3.08,-0.3,2.62
Yankuba Minteh,Brighton,5.99,-1.91,-1.07,3.01
Yoane Wissa,Brentford,5.98,-3.6,-0.37,2.01
Phil Foden,Manchester City,5.98,-2.46,0.99,4.51
Ross Barkley,Aston Villa,5.97,-3.06,0.28,3.19
Jáder Durán,Aston Villa,5.97,-3.12,-0.97,1.88
Dejan Kulusevski,Tottenham,5.97,-3.46,-1.1,1.41
Dominic Solanke,Tottenham,5.97,-4.46,-1.04,0.47
Mathias Jensen,Brentford,5.96,-3.73,0.81,3.04
Jadon Sancho,Chelsea,5.95,-3.09,0.17,3.03
Tyrone Mings,Aston Villa,5.95,-2.18,1.93,5.7
Kevin De Bruyne,Manchester City,5.94,-3.08,0.59,3.45
Martin Ødegaard,Arsenal,5.93,-1.86,0.75,4.82
Ederson,Manchester City,5.93,-3.18,1.69,4.44
João Pedro,Brighton,5.91,-2.82,-0.47,2.62
Malo Gusto,Chelsea,5.9,-1.76,1.26,5.4
Thomas Partey,Arsenal,5.9,-1.78,0.99,5.11
Sávio,Manchester City,5.9,-2.21,0.06,3.75
Emile Smith Rowe,Fulham,5.88,-2.96,0.32,3.24
Kevin Schade,Brentford,5.87,-2.3,-0.52,3.05
Tom Cairney,Fulham,5.87,-3.59,2.79,5.07
Joelinton,Newcastle Utd,5.85,-1.61,-0.73,3.51
Niclas Füllkrug,West Ham,5.84,-4.95,-1.52,-0.63
Joško Gvardiol,Manchester City,5.83,-1.91,2.02,5.94
Tosin Adarabioyo,Chelsea,5.82,-1.96,2.5,6.36
Enzo Fernández,Chelsea,5.8,-1.93,0.97,4.84
Cristian Romero,Tottenham,5.8,-1.99,2.38,6.19
Rico Lewis,Manchester City,5.79,-2.52,1.49,4.76
Bruno Guimarães,Newcastle Utd,5.78,-1.65,0.86,4.99
Conor Bradley,Liverpool,5.77,-2.25,0.75,4.27
Kaoru Mitoma,Brighton,5.76,-2.6,-0.5,2.66
Danny Welbeck,Brighton,5.74,-3.66,-0.33,1.75
Trevoh Chalobah,Chelsea,5.73,-2.69,1.84,4.88
Justin Kluivert,Bournemouth,5.72,-2.91,-0.67,2.14
Sandro Tonali,Newcastle Utd,5.71,-1.83,0.94,4.82
Pedro Porro,Tottenham,5.71,-2.45,1.07,4.33
Jack Hinshelwood,Brighton,5.71,-2.97,0.47,3.21
Rúben Dias,Manchester City,5.71,-2.33,2.99,6.37
Mikkel Damsgaard,Brentford,5.69,-1.94,0.21,3.96
Joe Gomez,Liverpool,5.65,-1.92,2.24,5.97
Lewis Hall,Newcastle Utd,5.63,-1.18,1.25,5.7
Gabriel Martinelli,Arsenal,5.62,-2.15,-0.4,3.07
