Player,Team,Attacking Impact,Defensive Impact,Misc Impact,Total Impact
Casemiro,Manchester Utd,1.85,6.84,0.74,9.43
Michael Kayode,Brentford,4.13,4.56,-0.53,8.16
Neco Williams,Nott'ham Forest,1.66,4.31,0.2,6.17
Patrick Dorgu,Manchester Utd,1.75,4.02,0.56,6.33
Cristian Romero,Tottenham,1.27,4.0,2.29,7.56
Riccardo Calafiori,Arsenal,2.71,3.91,-0.14,6.48
James Tarkowski,Everton,1.22,3.91,0.91,6.04
Idrissa Gana Gueye,Everton,1.53,3.86,0.25,5.64
Oliver Scarles,West Ham,0.62,3.61,0.15,4.38
Kenny Tete,Fulham,1.39,3.54,0.02,4.95
Alexis Mac Allister,Liverpool,5.07,3.53,0.24,8.84
Kostas Tsimikas,Liverpool,3.73,3.49,1.26,8.48
Mats Wieffer,Brighton,4.75,3.47,-0.11,8.11
Marcos Senesi,Bournemouth,1.42,3.37,0.59,5.38
Elliot Anderson,Nott'ham Forest,3.24,3.29,-0.12,6.41
Noussair Mazraoui,Manchester Utd,1.55,3.26,0.7,5.51
Alex Scott,Bournemouth,1.79,3.23,0.3,5.32
Daniel Muñoz,Crystal Palace,3.07,3.23,-0.65,5.65
Trent Alexander-Arnold,Liverpool,4.7,3.14,1.24,9.08
Tyler Adams,Bournemouth,2.3,3.14,-0.15,5.29
Moisés Caicedo,Chelsea,2.8,3.14,0.96,6.9
Joe Gomez,Liverpool,1.17,3.11,2.15,6.43
Nicolás Domínguez,Nott'ham Forest,1.19,3.06,-0.23,4.02
James Garner,Everton,1.99,2.91,0.3,5.2
Antonee Robinson,Fulham,3.93,2.83,0.47,7.23
Christian Nørgaard,Brentford,2.83,2.81,0.11,5.75
Dean Huijsen,Bournemouth,2.14,2.77,1.14,6.05
Murillo,Nott'ham Forest,1.12,2.77,0.56,4.45
Sean Longstaff,Newcastle Utd,1.08,2.71,0.08,3.87
Destiny Udogie,Tottenham,2.05,2.63,0.66,5.34
Maxence Lacroix,Crystal Palace,0.55,2.63,0.93,4.11
Chris Richards,Crystal Palace,0.65,2.63,0.65,3.93
Jake O'Brien,Everton,1.43,2.62,0.43,4.48
Lewis Hall,Newcastle Utd,3.36,2.6,1.19,7.15
Ibrahima Konaté,Liverpool,1.51,2.58,1.99,6.08
Ibrahim Sangaré,Nott'ham Forest,2.11,2.5,-0.02,4.59
Illia Zabarnyi,Bournemouth,0.92,2.48,1.39,4.79
Emmanuel Agbadou,Wolves,1.25,2.41,1.91,5.57
