Player,Team,Attacking Impact ML,Defensive Impact ML,Misc Impact,Total Impact (ML)
Trent Alexander-Arnold,Liverpool,5.12,0.13,0.89,6.14
Alexis Mac Allister,Liverpool,4.96,0.32,0.23,5.51
Virgil van Dijk,Liverpool,4.53,-1.47,1.71,4.77
Kostas Tsimikas,Liverpool,3.53,0.32,0.91,4.76
Ibrahima Konaté,Liverpool,4.23,-1.04,1.38,4.57
Mateo Kovačić,Manchester City,4.23,-0.86,1.15,4.52
William Saliba,Arsenal,3.5,-0.59,1.5,4.41
Luis Díaz,Liverpool,5.48,-0.76,-0.34,4.38
Michael Kayode,Brentford,4.69,-0.1,-0.24,4.35
Riccardo Calafiori,Arsenal,4.63,-0.31,0.03,4.35
Rúben Dias,Manchester City,3.81,-1.55,1.99,4.25
Tosin Adarabioyo,Chelsea,3.88,-1.3,1.67,4.25
Kieran Trippier,Newcastle Utd,4.04,-0.96,1.11,4.19
Cristian Romero,Tottenham,3.87,-1.33,1.59,4.13
Ryan Gravenberch,Liverpool,4.51,-0.95,0.55,4.11
Joe Gomez,Liverpool,3.76,-1.28,1.49,3.97
Joško Gvardiol,Manchester City,3.88,-1.28,1.35,3.95
Adam Webster,Brighton,4.56,-1.96,1.35,3.95
Jeremy Doku,Manchester City,4.54,-0.39,-0.21,3.94
Moisés Caicedo,Chelsea,3.54,-0.39,0.74,3.89
Lewis Hall,Newcastle Utd,3.76,-0.78,0.84,3.82
Tyrone Mings,Aston Villa,3.96,-1.46,1.28,3.78
Jurriën Timber,Arsenal,3.65,-0.18,0.28,3.75
Gabriel Magalhães,Arsenal,3.59,-1.18,1.27,3.68
Mats Wieffer,Brighton,4.13,-0.63,0.11,3.61
Malo Gusto,Chelsea,3.93,-1.18,0.84,3.59
Bukayo Saka,Arsenal,4.62,-1.25,0.19,3.56
Mohamed Salah,Liverpool,5.7,-1.79,-0.35,3.56
Casemiro,Manchester Utd,2.53,0.42,0.59,3.54
Micky van de Ven,Tottenham,4.1,-2.13,1.54,3.51
Dominik Szoboszlai,Liverpool,4.74,-1.33,0.08,3.49
Alisson,Liverpool,4.52,-2.02,0.94,3.44
Manuel Akanji,Manchester City,4.01,-2.02,1.44,3.43
Nicolás González,Manchester City,4.09,-1.13,0.47,3.43
Thomas Partey,Arsenal,3.93,-1.19,0.66,3.4
Myles Lewis-Skelly,Arsenal,3.21,-1.18,1.37,3.4
Tom Cairney,Fulham,3.91,-2.39,1.86,3.38
Oleksandr Zinchenko,Arsenal,3.2,-0.55,0.69,3.34
Youri Tielemans,Aston Villa,3.41,-0.97,0.89,3.33
