Player,Team,Minutes,Goals,Assists,Goals + Assists,Non Pen Goals,Pens Scored,Pens Attempted,Prog Carries,Prog Passes,Prog Passes Received,Yellows,Reds,xG,Non Pen xG,xAG,Non Pen xG + xA,Shots,Shots on Target,Non Pen xG per Shot,Goals minus xG,Non Pen Goals minus Non Pen xG,Short Pass,Short Pass Attempted,Medium Pass,Medium Pass Attempted,Long Pass,Long Pass Attempted,xA,Assists minus xAG,Key Passes,Pass into final third,Pass into Pen Area,Cross into Pen Area,Shot Creation Actions,Goal Creation Actions,Tackles,Tackles in Def 3rd,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocked Shots,Blocked Passes,Interceptions,Clearances,Errors,Touches in Attacking Third,Touches in Pen Area,Take Ons Attempted,Take Ons Won,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Points Per Match,Goals whilst on Pitch,Goals Conceded whilst on Pitch,xG whilst on Pitch,xG Conceded whilst on Pitch,Net Goals On or Off Pitch per 90,Net xG On or Off Pitch per 90,Fouls Comitted,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Recoveries,Aerial Duels Won,Aerial Duels Lost,year
Aaron Cresswell,West Ham,824.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,4.0,3.0,0.0,0.2,0.2,1.3,1.6,5.0,0.0,0.05,-0.2,-0.2,229.0,249.0,212.0,241.0,58.0,107.0,1.9,-1.3,9.0,52.0,5.0,2.0,15.0,0.0,11.0,5.0,7.0,9.0,11.0,4.0,5.0,8.0,37.0,0.0,94.0,2.0,2.0,1.0,291.0,8.0,0.0,4.0,0.0,1.78,8.0,8.0,9.7,12.7,0.55,0.01,4.0,2.0,0.0,0.0,0.0,0.0,36.0,7.0,7.0,2024-2025
Aaron Ramsdale,Southampton,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,209.0,210.0,302.0,313.0,257.0,686.0,0.1,0.0,0.0,36.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,786.0,0.0,0.0,3.0,0.0,0.37,21.0,66.0,25.0,64.9,0.38,0.21,1.0,4.0,0.0,0.0,0.0,0.0,23.0,6.0,0.0,2024-2025
Aaron Wan-Bissaka,West Ham,3154.0,2.0,5.0,7.0,2.0,0.0,0.0,110.0,149.0,167.0,1.0,0.0,1.2,1.2,3.5,4.7,16.0,5.0,0.07,0.8,0.8,953.0,1056.0,449.0,550.0,48.0,105.0,2.8,1.5,33.0,94.0,35.0,11.0,93.0,10.0,70.0,33.0,49.0,23.0,32.0,11.0,26.0,66.0,125.0,0.0,637.0,48.0,122.0,64.0,1092.0,65.0,15.0,35.0,22.0,1.17,44.0,59.0,42.3,56.2,-0.09,-0.8,25.0,27.0,5.0,0.0,0.0,1.0,174.0,22.0,33.0,2024-2025
Abdoulaye Doucouré,Everton,2564.0,3.0,2.0,5.0,3.0,0.0,0.0,42.0,82.0,96.0,5.0,0.0,4.1,4.1,2.4,6.6,31.0,9.0,0.13,-1.1,-1.1,382.0,446.0,263.0,316.0,44.0,60.0,1.4,-0.4,28.0,44.0,15.0,0.0,58.0,3.0,48.0,21.0,28.0,14.0,43.0,6.0,25.0,10.0,20.0,1.0,413.0,65.0,45.0,24.0,604.0,26.0,8.0,38.0,38.0,1.3,28.0,33.0,31.0,34.8,-0.49,-0.07,49.0,5.0,10.0,0.0,0.0,0.0,150.0,30.0,44.0,2024-2025
Abdukodir Khusanov,Manchester City,503.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,2.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.02,0.0,0.0,160.0,169.0,191.0,197.0,6.0,23.0,0.1,-0.1,2.0,23.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,29.0,1.0,31.0,1.0,2.0,0.0,274.0,1.0,0.0,2.0,1.0,1.67,8.0,6.0,9.0,7.0,-0.44,-0.19,3.0,3.0,0.0,0.0,0.0,1.0,27.0,6.0,4.0,2024-2025
Abdul Fatawu Issahaku,Leicester City,579.0,0.0,2.0,2.0,0.0,0.0,0.0,42.0,17.0,60.0,0.0,0.0,0.4,0.4,1.6,2.0,13.0,5.0,0.03,-0.4,-0.4,59.0,81.0,45.0,59.0,16.0,33.0,1.4,0.4,6.0,7.0,7.0,2.0,17.0,3.0,21.0,13.0,15.0,11.0,19.0,0.0,7.0,4.0,12.0,0.0,157.0,26.0,69.0,29.0,217.0,24.0,15.0,18.0,12.0,0.91,7.0,14.0,6.8,10.7,0.18,0.52,11.0,20.0,2.0,0.0,0.0,0.0,38.0,14.0,13.0,2024-2025
Adam Armstrong,Southampton,1248.0,2.0,2.0,4.0,2.0,0.0,1.0,25.0,21.0,79.0,4.0,0.0,3.3,2.3,1.2,3.5,25.0,7.0,0.09,-1.3,-0.3,138.0,158.0,81.0,95.0,6.0,13.0,0.6,0.8,9.0,10.0,8.0,2.0,19.0,4.0,12.0,2.0,3.0,3.0,14.0,1.0,5.0,3.0,8.0,0.0,192.0,49.0,14.0,6.0,235.0,13.0,6.0,11.0,18.0,0.3,7.0,35.0,12.8,32.4,-0.69,-0.07,12.0,5.0,9.0,0.0,0.0,0.0,23.0,5.0,9.0,2024-2025
Adam Lallana,Southampton,361.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,24.0,10.0,4.0,0.0,0.2,0.2,0.9,1.1,3.0,0.0,0.06,-0.2,-0.2,147.0,165.0,61.0,67.0,4.0,9.0,0.5,1.1,4.0,21.0,9.0,3.0,9.0,2.0,8.0,4.0,5.0,2.0,12.0,1.0,3.0,5.0,5.0,0.0,73.0,6.0,12.0,5.0,178.0,8.0,0.0,10.0,6.0,0.5,3.0,8.0,4.2,7.9,0.37,0.48,8.0,8.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,2024-2025
Adam Smith,Bournemouth,1590.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,49.0,34.0,7.0,0.0,0.7,0.7,0.4,1.1,3.0,0.0,0.22,-0.7,-0.7,244.0,275.0,222.0,279.0,32.0,89.0,0.7,-0.4,8.0,49.0,10.0,5.0,23.0,2.0,24.0,11.0,12.0,14.0,27.0,5.0,8.0,15.0,49.0,1.0,197.0,8.0,16.0,6.0,366.0,18.0,1.0,13.0,7.0,1.48,25.0,18.0,29.7,18.9,0.15,0.38,19.0,12.0,0.0,0.0,0.0,0.0,50.0,14.0,15.0,2024-2025
Adam Webster,Brighton,887.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,63.0,2.0,1.0,0.0,0.2,0.2,0.5,0.7,5.0,1.0,0.05,-0.2,-0.2,242.0,257.0,333.0,354.0,53.0,97.0,0.3,-0.5,3.0,64.0,2.0,0.0,14.0,4.0,10.0,5.0,6.0,6.0,14.0,9.0,7.0,20.0,41.0,2.0,43.0,15.0,3.0,1.0,476.0,6.0,0.0,5.0,1.0,2.29,26.0,11.0,19.0,14.3,1.81,0.49,7.0,2.0,1.0,0.0,1.0,0.0,35.0,24.0,6.0,2024-2025
Adam Wharton,Crystal Palace,1318.0,0.0,2.0,2.0,0.0,0.0,0.0,14.0,107.0,11.0,2.0,0.0,0.4,0.4,3.0,3.4,13.0,5.0,0.03,-0.4,-0.4,208.0,252.0,258.0,322.0,70.0,107.0,2.2,-1.0,26.0,78.0,18.0,5.0,59.0,6.0,34.0,14.0,14.0,17.0,44.0,2.0,9.0,20.0,27.0,0.0,212.0,11.0,10.0,2.0,430.0,23.0,2.0,17.0,13.0,1.25,18.0,21.0,21.1,19.2,-0.33,-0.27,12.0,21.0,0.0,0.0,0.0,0.0,102.0,7.0,16.0,2024-2025
Adama Traoré,Fulham,1772.0,2.0,7.0,9.0,2.0,0.0,0.0,100.0,68.0,161.0,3.0,0.0,4.0,4.0,4.9,8.9,39.0,12.0,0.1,-2.0,-2.0,236.0,286.0,143.0,194.0,30.0,54.0,4.5,2.1,42.0,36.0,38.0,22.0,82.0,10.0,20.0,9.0,13.0,5.0,13.0,0.0,7.0,1.0,6.0,4.0,455.0,91.0,97.0,48.0,538.0,45.0,33.0,37.0,25.0,1.47,32.0,28.0,27.9,24.6,0.42,0.25,24.0,32.0,1.0,0.0,0.0,0.0,87.0,25.0,26.0,2024-2025
Albert Grønbaek,Southampton,143.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,0.06,-0.1,-0.1,9.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,3.0,10.0,1.0,0.0,0.0,1.0,0.0,15.0,2.0,4.0,0.0,18.0,0.0,1.0,5.0,4.0,0.75,2.0,3.0,0.8,4.8,0.99,-1.24,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2024-2025
Alejandro Garnacho,Manchester Utd,2199.0,6.0,2.0,8.0,6.0,0.0,0.0,141.0,56.0,290.0,3.0,0.0,7.3,7.3,4.5,11.8,84.0,29.0,0.09,-1.3,-1.3,405.0,458.0,183.0,223.0,31.0,52.0,2.8,-2.5,37.0,22.0,25.0,5.0,83.0,6.0,30.0,11.0,18.0,12.0,37.0,0.0,19.0,13.0,11.0,2.0,683.0,176.0,89.0,26.0,840.0,72.0,67.0,64.0,48.0,1.0,26.0,36.0,35.6,35.0,-0.41,0.15,12.0,43.0,10.0,0.0,0.0,0.0,108.0,3.0,24.0,2024-2025
Alex Iwobi,Fulham,2981.0,9.0,6.0,15.0,9.0,0.0,0.0,144.0,213.0,246.0,1.0,0.0,4.7,4.7,7.0,11.8,68.0,29.0,0.07,4.3,4.3,582.0,671.0,448.0,574.0,98.0,184.0,7.0,-1.0,59.0,115.0,86.0,19.0,122.0,16.0,44.0,14.0,25.0,22.0,34.0,1.0,25.0,14.0,29.0,1.0,895.0,116.0,97.0,48.0,1312.0,105.0,37.0,62.0,40.0,1.42,40.0,45.0,39.3,37.5,-1.18,0.04,19.0,18.0,5.0,0.0,0.0,0.0,140.0,7.0,31.0,2024-2025
Alex McCarthy,Southampton,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,41.0,43.0,45.0,49.0,30.0,61.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,4.8,10.8,-0.48,0.18,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2024-2025
Alex Palmer,Ipswich Town,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,60.0,62.0,142.0,142.0,96.0,218.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,2.0,0.0,0.46,13.0,30.0,11.3,23.7,-0.15,0.09,1.0,4.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,2024-2025
Alex Scott,Bournemouth,755.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,52.0,33.0,3.0,0.0,0.7,0.7,0.9,1.6,15.0,6.0,0.05,-0.7,-0.7,142.0,159.0,112.0,121.0,20.0,35.0,1.0,-0.9,12.0,41.0,5.0,1.0,29.0,2.0,27.0,11.0,14.0,19.0,42.0,4.0,13.0,10.0,15.0,0.0,144.0,18.0,26.0,6.0,247.0,10.0,3.0,23.0,8.0,1.35,10.0,8.0,12.0,10.0,-0.1,-0.23,17.0,26.0,0.0,0.0,0.0,0.0,52.0,7.0,7.0,2024-2025
Alexander Isak,Newcastle Utd,2756.0,23.0,6.0,29.0,19.0,4.0,4.0,83.0,88.0,217.0,1.0,0.0,20.3,17.2,4.3,21.6,95.0,41.0,0.18,2.7,1.8,306.0,364.0,163.0,207.0,26.0,42.0,3.6,1.7,41.0,35.0,31.0,1.0,92.0,14.0,12.0,2.0,5.0,5.0,15.0,2.0,16.0,3.0,17.0,1.0,596.0,189.0,91.0,42.0,615.0,42.0,43.0,66.0,55.0,1.88,62.0,41.0,55.0,36.3,0.69,0.67,27.0,14.0,20.0,1.0,0.0,0.0,55.0,26.0,55.0,2024-2025
Alexis Mac Allister,Liverpool,2599.0,5.0,5.0,10.0,5.0,0.0,0.0,36.0,177.0,80.0,6.0,0.0,2.8,2.8,4.7,7.5,38.0,13.0,0.07,2.2,2.2,658.0,729.0,493.0,558.0,89.0,160.0,5.6,0.3,45.0,122.0,35.0,2.0,120.0,15.0,95.0,28.0,58.0,55.0,104.0,6.0,55.0,22.0,29.0,1.0,637.0,60.0,42.0,16.0,915.0,43.0,5.0,31.0,22.0,2.34,69.0,24.0,64.2,24.3,1.56,0.98,62.0,40.0,2.0,0.0,0.0,0.0,148.0,19.0,34.0,2024-2025
Alfie Dorrington,Tottenham,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,7.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.4,0.0,0.03,2.69,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2024-2025
Alfie Pond,Wolves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.39,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-2025
Ali Al Hamadi,Ipswich Town,134.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,14.0,3.0,0.0,0.4,0.4,0.1,0.4,4.0,0.0,0.09,-0.4,-0.4,20.0,23.0,5.0,7.0,0.0,0.0,0.0,-0.1,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,30.0,9.0,7.0,4.0,29.0,3.0,4.0,7.0,4.0,0.82,1.0,5.0,1.4,3.7,-1.54,-0.57,8.0,3.0,1.0,0.0,0.0,0.0,4.0,5.0,9.0,2024-2025
Alisson,Liverpool,2508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,,0.0,0.0,229.0,232.0,426.0,433.0,137.0,289.0,0.2,-0.6,1.0,12.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,1.0,658.0,0.0,0.0,1.0,0.0,2.18,64.0,29.0,62.2,27.4,0.27,0.39,0.0,2.0,0.0,0.0,0.0,0.0,47.0,7.0,0.0,2024-2025
Alphonse Areola,West Ham,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,153.0,154.0,334.0,350.0,198.0,473.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,601.0,0.0,0.0,0.0,0.0,0.96,29.0,41.0,30.1,37.3,-0.17,0.14,0.0,0.0,0.0,0.0,0.0,1.0,29.0,2.0,0.0,2024-2025
Altay Bayındır,Manchester Utd,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.0,13.0,52.0,55.0,26.0,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.75,6.0,10.0,7.3,7.0,-0.82,0.11,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2024-2025
