Player,Team,Minutes,Goals,Assists,Goals + Assists,Non Pen Goals,Pens Scored,Pens Attempted,Prog Carries,Prog Passes,Prog Passes Received,Yellows,Reds,xG,Non Pen xG,xAG,Non Pen xG + xA,Shots,Shots on Target,Non Pen xG per Shot,Goals minus xG,Non Pen Goals minus Non Pen xG,Short Pass,Short Pass Attempted,Medium Pass,Medium Pass Attempted,Long Pass,Long Pass Attempted,xA,Assists minus xAG,Key Passes,Pass into final third,Pass into Pen Area,Cross into Pen Area,Shot Creation Actions,Goal Creation Actions,Tackles,Tackles in Def 3rd,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocked Shots,Blocked Passes,Interceptions,Clearances,Errors,Touches in Attacking Third,Touches in Pen Area,Take Ons Attempted,Take Ons Won,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Points Per Match,Goals whilst on Pitch,Goals Conceded whilst on Pitch,xG whilst on Pitch,xG Conceded whilst on Pitch,Net Goals On or Off Pitch per 90,Net xG On or Off Pitch per 90,Fouls Comitted,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Recoveries,Aerial Duels Won,Aerial Duels Lost,year,Pens Missed,Short Pass Missed,Medium Pass Missed,Long Pass Missed,Tackles Lost,Challenges Lost,Take Ons Lost,Shots Missed Target,Shots on Target Missed Goal,Goals per 90,Assists per 90,Goals + Assists per 90,Non Pen Goals per 90,Pens Scored per 90,Pens Attempted per 90,Pens Missed per 90,Prog Carries per 90,Prog Passes per 90,Prog Passes Received per 90,Yellows per 90,Reds per 90,xG per 90,Non Pen xG per 90,xAG per 90,Non Pen xG + xA per 90,Shots per 90,Shots on Target per 90,Shots Missed Target per 90,Shots on Target Missed Goal per 90,Non Pen xG per Shot per 90,Goals minus xG per 90,Non Pen Goals minus Non Pen xG per 90,Short Pass per 90,Short Pass Attempted per 90,Short Pass Missed per 90,Medium Pass per 90,Medium Pass Attempted per 90,Medium Pass Missed per 90,Long Pass per 90,Long Pass Attempted per 90,Long Pass Missed per 90,xA per 90,Assists minus xAG per 90,Key Passes per 90,Pass into final third per 90,Pass into Pen Area per 90,Cross into Pen Area per 90,Shot Creation Actions per 90,Goal Creation Actions per 90,Tackles per 90,Tackles in Def 3rd per 90,Tackles Won per 90,Tackles Lost per 90,Dribblers Tackled per 90,Dribbles Challenged per 90,Challenges Lost per 90,Blocked Shots per 90,Blocked Passes per 90,Interceptions per 90,Clearances per 90,Errors per 90,Touches in Attacking Third per 90,Touches in Pen Area per 90,Take Ons Attempted per 90,Take Ons Won per 90,Take Ons Lost per 90,Carries per 90,Carries into Final Third per 90,Carries into Penalty Area per 90,Miscontrols per 90,Dispossessed per 90,Goals whilst on Pitch per 90,Goals Conceded whilst on Pitch per 90,xG whilst on Pitch per 90,xG Conceded whilst on Pitch per 90,Fouls Comitted per 90,Fouls Drawn per 90,Offsides per 90,Penalties Won per 90,Penalties Conceded per 90,Own Goals per 90,Recoveries per 90,Aerial Duels Won per 90,Aerial Duels Lost per 90
Aaron Cresswell,West Ham,824.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,4.0,3.0,0.0,0.2,0.2,1.3,1.6,5.0,0.0,0.05,-0.2,-0.2,229.0,249.0,212.0,241.0,58.0,107.0,1.9,-1.3,9.0,52.0,5.0,2.0,15.0,0.0,11.0,5.0,7.0,9.0,11.0,4.0,5.0,8.0,37.0,0.0,94.0,2.0,2.0,1.0,291.0,8.0,0.0,4.0,0.0,1.78,8.0,8.0,9.7,12.7,0.55,0.01,4.0,2.0,0.0,0.0,0.0,0.0,36.0,7.0,7.0,2024-2025,0.0,20.0,29.0,49.0,4.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6553398058252428,3.9320388349514563,0.4368932038834951,0.3276699029126214,0.0,0.021844660194174758,0.021844660194174758,0.14199029126213594,0.17475728155339806,0.5461165048543689,0.0,0.5461165048543689,0.0,0.0054611650485436895,-0.021844660194174758,-0.021844660194174758,25.012135922330096,27.19660194174757,2.1844660194174756,23.155339805825243,26.32281553398058,3.1674757281553396,6.334951456310679,11.686893203883495,5.351941747572815,0.20752427184466019,-0.14199029126213594,0.9830097087378641,5.679611650485437,0.5461165048543689,0.21844660194174756,1.6383495145631066,0.0,1.2014563106796117,0.5461165048543689,0.7645631067961165,0.4368932038834951,0.9830097087378641,1.2014563106796117,0.21844660194174756,0.4368932038834951,0.5461165048543689,0.8737864077669902,4.04126213592233,0.0,10.266990291262136,0.21844660194174756,0.21844660194174756,0.10922330097087378,0.10922330097087378,31.783980582524272,0.8737864077669902,0.0,0.4368932038834951,0.0,0.8737864077669902,0.8737864077669902,1.0594660194174756,1.387135922330097,0.4368932038834951,0.21844660194174756,0.0,0.0,0.0,0.0,3.9320388349514563,0.7645631067961165,0.7645631067961165
Aaron Ramsdale,Southampton,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,209.0,210.0,302.0,313.0,257.0,686.0,0.1,0.0,0.0,36.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,786.0,0.0,0.0,3.0,0.0,0.37,21.0,66.0,25.0,64.9,0.38,0.21,1.0,4.0,0.0,0.0,0.0,0.0,23.0,6.0,0.0,2024-2025,0.0,1.0,11.0,429.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.966666666666667,7.0,0.03333333333333333,10.066666666666666,10.433333333333334,0.36666666666666664,8.566666666666666,22.866666666666667,14.299999999999999,0.003333333333333333,0.0,0.0,1.2000000000000002,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.06666666666666667,0.33333333333333337,0.1,0.0,0.0,0.0,0.0,0.0,26.2,0.0,0.0,0.1,0.0,0.7,2.2,0.8333333333333333,2.1633333333333336,0.03333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.7666666666666667,0.2,0.0
Aaron Wan-Bissaka,West Ham,3154.0,2.0,5.0,7.0,2.0,0.0,0.0,110.0,149.0,167.0,1.0,0.0,1.2,1.2,3.5,4.7,16.0,5.0,0.07,0.8,0.8,953.0,1056.0,449.0,550.0,48.0,105.0,2.8,1.5,33.0,94.0,35.0,11.0,93.0,10.0,70.0,33.0,49.0,23.0,32.0,11.0,26.0,66.0,125.0,0.0,637.0,48.0,122.0,64.0,1092.0,65.0,15.0,35.0,22.0,1.17,44.0,59.0,42.3,56.2,-0.09,-0.8,25.0,27.0,5.0,0.0,0.0,1.0,174.0,22.0,33.0,2024-2025,0.0,103.0,101.0,57.0,21.0,9.0,58.0,11.0,3.0,0.05707038681039949,0.14267596702599875,0.19974635383639822,0.05707038681039949,0.0,0.0,0.0,3.138871274571972,4.251743817374762,4.765377298668358,0.028535193405199746,0.0,0.03424223208623969,0.03424223208623969,0.09987317691819911,0.13411540900443883,0.45656309448319593,0.14267596702599875,0.3138871274571972,0.08560558021559923,0.0019974635383639824,0.022828154724159798,0.022828154724159798,27.194039315155358,30.13316423589093,2.939124920735574,12.812301838934685,15.694356372859861,2.8820545339251744,1.3696892834495877,2.9961953075459733,1.6265060240963856,0.07989854153455928,0.04280279010779962,0.9416613823715916,2.6823081800887763,0.9987317691819911,0.3138871274571972,2.653772986683576,0.2853519340519975,1.9974635383639823,0.9416613823715916,1.3982244768547876,0.5992390615091946,0.6563094483195941,0.9131261889663919,0.2568167406467977,0.3138871274571972,0.7419150285351933,1.8833227647431832,3.5668991756499686,0.0,18.176918199112237,1.3696892834495877,3.481293595434369,1.8262523779327837,1.6550412175015852,31.160431198478122,1.8547875713379836,0.4280279010779962,0.9987317691819911,0.6277742549143944,1.2555485098287889,1.683576410906785,1.2070386810399492,1.6036778693722258,0.7133798351299936,0.7704502219403931,0.14267596702599875,0.0,0.0,0.028535193405199746,4.965123652504755,0.6277742549143944,0.9416613823715916
Abdoulaye Doucouré,Everton,2564.0,3.0,2.0,5.0,3.0,0.0,0.0,42.0,82.0,96.0,5.0,0.0,4.1,4.1,2.4,6.6,31.0,9.0,0.13,-1.1,-1.1,382.0,446.0,263.0,316.0,44.0,60.0,1.4,-0.4,28.0,44.0,15.0,0.0,58.0,3.0,48.0,21.0,28.0,14.0,43.0,6.0,25.0,10.0,20.0,1.0,413.0,65.0,45.0,24.0,604.0,26.0,8.0,38.0,38.0,1.3,28.0,33.0,31.0,34.8,-0.49,-0.07,49.0,5.0,10.0,0.0,0.0,0.0,150.0,30.0,44.0,2024-2025,0.0,64.0,53.0,16.0,20.0,29.0,21.0,22.0,6.0,0.10530421216848675,0.07020280811232449,0.17550702028081125,0.10530421216848675,0.0,0.0,0.0,1.4742589703588145,2.878315132605304,3.369734789391576,0.17550702028081125,0.0,0.1439157566302652,0.1439157566302652,0.08424336973478938,0.2316692667706708,1.0881435257410297,0.31591263650546025,0.7722308892355695,0.2106084243369735,0.004563182527301092,-0.038611544461778474,-0.038611544461778474,13.408736349453978,15.655226209048362,2.2464898595943836,9.231669266770671,11.09204368174727,1.860374414976599,1.544461778471139,2.1060842433697347,0.5616224648985959,0.049141965678627136,-0.014040561622464899,0.982839313572543,1.544461778471139,0.5265210608424337,0.0,2.0358814352574104,0.10530421216848675,1.684867394695788,0.7371294851794072,0.982839313572543,0.702028081123245,0.4914196567862715,1.5093603744149764,1.0179407176287052,0.2106084243369735,0.8775351014040562,0.3510140405616225,0.702028081123245,0.035101404056162244,14.496879875195008,2.281591263650546,1.579563182527301,0.842433697347894,0.7371294851794072,21.201248049921997,0.9126365054602185,0.28081123244929795,1.3338533541341655,1.3338533541341655,0.982839313572543,1.1583463338533542,1.0881435257410297,1.2215288611544461,1.71996879875195,0.17550702028081125,0.3510140405616225,0.0,0.0,0.0,5.265210608424336,1.0530421216848673,1.544461778471139
Abdukodir Khusanov,Manchester City,503.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,2.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.02,0.0,0.0,160.0,169.0,191.0,197.0,6.0,23.0,0.1,-0.1,2.0,23.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,29.0,1.0,31.0,1.0,2.0,0.0,274.0,1.0,0.0,2.0,1.0,1.67,8.0,6.0,9.0,7.0,-0.44,-0.19,3.0,3.0,0.0,0.0,0.0,1.0,27.0,6.0,4.0,2024-2025,0.0,9.0,6.0,17.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17892644135188865,4.473161033797217,0.3578528827037773,0.17892644135188865,0.0,0.0,0.0,0.017892644135188866,0.017892644135188866,0.17892644135188865,0.0,0.17892644135188865,0.0,0.0035785288270377734,0.0,0.0,28.628230616302186,30.238568588469185,1.610337972166998,34.17495029821074,35.24850894632207,1.073558648111332,1.073558648111332,4.11530815109344,3.0417495029821073,0.017892644135188866,-0.017892644135188866,0.3578528827037773,4.11530815109344,0.0,0.0,0.8946322067594433,0.0,0.8946322067594433,0.7157057654075546,0.7157057654075546,0.17892644135188865,0.3578528827037773,0.536779324055666,0.17892644135188865,0.7157057654075546,0.17892644135188865,0.536779324055666,5.188866799204772,0.17892644135188865,5.546719681908549,0.17892644135188865,0.3578528827037773,0.0,0.3578528827037773,49.02584493041749,0.17892644135188865,0.0,0.3578528827037773,0.17892644135188865,1.4314115308151092,1.073558648111332,1.610337972166998,1.2524850894632207,0.536779324055666,0.536779324055666,0.0,0.0,0.0,0.17892644135188865,4.831013916500994,1.073558648111332,0.7157057654075546
Abdul Fatawu Issahaku,Leicester City,579.0,0.0,2.0,2.0,0.0,0.0,0.0,42.0,17.0,60.0,0.0,0.0,0.4,0.4,1.6,2.0,13.0,5.0,0.03,-0.4,-0.4,59.0,81.0,45.0,59.0,16.0,33.0,1.4,0.4,6.0,7.0,7.0,2.0,17.0,3.0,21.0,13.0,15.0,11.0,19.0,0.0,7.0,4.0,12.0,0.0,157.0,26.0,69.0,29.0,217.0,24.0,15.0,18.0,12.0,0.91,7.0,14.0,6.8,10.7,0.18,0.52,11.0,20.0,2.0,0.0,0.0,0.0,38.0,14.0,13.0,2024-2025,0.0,22.0,14.0,17.0,6.0,8.0,40.0,8.0,5.0,0.0,0.31088082901554404,0.31088082901554404,0.0,0.0,0.0,0.0,6.528497409326424,2.6424870466321244,9.32642487046632,0.0,0.0,0.062176165803108814,0.062176165803108814,0.24870466321243526,0.31088082901554404,2.0207253886010363,0.7772020725388601,1.2435233160621761,0.7772020725388601,0.004663212435233161,-0.062176165803108814,-0.062176165803108814,9.170984455958548,12.590673575129534,3.4196891191709846,6.994818652849741,9.170984455958548,2.1761658031088085,2.4870466321243523,5.129533678756477,2.6424870466321244,0.21761658031088082,0.062176165803108814,0.9326424870466321,1.0880829015544042,1.0880829015544042,0.31088082901554404,2.6424870466321244,0.46632124352331605,3.264248704663212,2.0207253886010363,2.33160621761658,0.9326424870466321,1.7098445595854923,2.9533678756476687,1.2435233160621761,0.0,1.0880829015544042,0.6217616580310881,1.8652849740932642,0.0,24.404145077720205,4.041450777202073,10.725388601036268,4.507772020725389,6.217616580310881,33.73056994818653,3.7305699481865284,2.33160621761658,2.7979274611398965,1.8652849740932642,1.0880829015544042,2.1761658031088085,1.0569948186528497,1.6632124352331603,1.7098445595854923,3.1088082901554404,0.31088082901554404,0.0,0.0,0.0,5.906735751295337,2.1761658031088085,2.0207253886010363
Adam Armstrong,Southampton,1248.0,2.0,2.0,4.0,2.0,0.0,1.0,25.0,21.0,79.0,4.0,0.0,3.3,2.3,1.2,3.5,25.0,7.0,0.09,-1.3,-0.3,138.0,158.0,81.0,95.0,6.0,13.0,0.6,0.8,9.0,10.0,8.0,2.0,19.0,4.0,12.0,2.0,3.0,3.0,14.0,1.0,5.0,3.0,8.0,0.0,192.0,49.0,14.0,6.0,235.0,13.0,6.0,11.0,18.0,0.3,7.0,35.0,12.8,32.4,-0.69,-0.07,12.0,5.0,9.0,0.0,0.0,0.0,23.0,5.0,9.0,2024-2025,1.0,20.0,14.0,7.0,9.0,11.0,8.0,18.0,5.0,0.14423076923076922,0.14423076923076922,0.28846153846153844,0.14423076923076922,0.0,0.07211538461538461,0.07211538461538461,1.8028846153846156,1.5144230769230769,5.697115384615384,0.28846153846153844,0.0,0.23798076923076922,0.1658653846153846,0.08653846153846154,0.25240384615384615,1.8028846153846156,0.5048076923076923,1.2980769230769231,0.360576923076923,0.006490384615384615,-0.09375,-0.021634615384615384,9.951923076923077,11.394230769230768,1.442307692307692,5.841346153846154,6.850961538461537,1.0096153846153846,0.4326923076923077,0.9375,0.5048076923076923,0.04326923076923077,0.057692307692307696,0.6490384615384616,0.721153846153846,0.5769230769230769,0.14423076923076922,1.3701923076923077,0.28846153846153844,0.8653846153846154,0.14423076923076922,0.21634615384615385,0.6490384615384616,0.21634615384615385,1.0096153846153846,0.7932692307692307,0.07211538461538461,0.360576923076923,0.21634615384615385,0.5769230769230769,0.0,13.846153846153847,3.5336538461538463,1.0096153846153846,0.4326923076923077,0.5769230769230769,16.947115384615383,0.9375,0.4326923076923077,0.7932692307692307,1.2980769230769231,0.5048076923076923,2.5240384615384617,0.9230769230769231,2.3365384615384612,0.8653846153846154,0.360576923076923,0.6490384615384616,0.0,0.0,0.0,1.6586538461538463,0.360576923076923,0.6490384615384616
Adam Lallana,Southampton,361.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,24.0,10.0,4.0,0.0,0.2,0.2,0.9,1.1,3.0,0.0,0.06,-0.2,-0.2,147.0,165.0,61.0,67.0,4.0,9.0,0.5,1.1,4.0,21.0,9.0,3.0,9.0,2.0,8.0,4.0,5.0,2.0,12.0,1.0,3.0,5.0,5.0,0.0,73.0,6.0,12.0,5.0,178.0,8.0,0.0,10.0,6.0,0.5,3.0,8.0,4.2,7.9,0.37,0.48,8.0,8.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,2024-2025,0.0,18.0,6.0,5.0,3.0,10.0,7.0,3.0,0.0,0.0,0.4986149584487535,0.4986149584487535,0.0,0.0,0.0,0.0,1.4958448753462605,5.983379501385042,2.493074792243767,0.997229916897507,0.0,0.04986149584487535,0.04986149584487535,0.22437673130193905,0.2742382271468144,0.7479224376731303,0.0,0.7479224376731303,0.0,0.014958448753462602,-0.04986149584487535,-0.04986149584487535,36.64819944598338,41.13573407202216,4.487534626038782,15.20775623268698,16.70360110803324,1.4958448753462605,0.997229916897507,2.243767313019391,1.2465373961218835,0.12465373961218837,0.2742382271468144,0.997229916897507,5.2354570637119116,2.243767313019391,0.7479224376731303,2.243767313019391,0.4986149584487535,1.994459833795014,0.997229916897507,1.2465373961218835,0.7479224376731303,0.4986149584487535,2.991689750692521,2.493074792243767,0.24930747922437674,0.7479224376731303,1.2465373961218835,1.2465373961218835,0.0,18.1994459833795,1.4958448753462605,2.991689750692521,1.2465373961218835,1.745152354570637,44.37673130193906,1.994459833795014,0.0,2.493074792243767,1.4958448753462605,0.7479224376731303,1.994459833795014,1.0470914127423823,1.9695290858725762,1.994459833795014,1.994459833795014,0.0,0.0,0.0,0.0,4.7368421052631575,0.4986149584487535,0.4986149584487535
Adam Smith,Bournemouth,1590.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,49.0,34.0,7.0,0.0,0.7,0.7,0.4,1.1,3.0,0.0,0.22,-0.7,-0.7,244.0,275.0,222.0,279.0,32.0,89.0,0.7,-0.4,8.0,49.0,10.0,5.0,23.0,2.0,24.0,11.0,12.0,14.0,27.0,5.0,8.0,15.0,49.0,1.0,197.0,8.0,16.0,6.0,366.0,18.0,1.0,13.0,7.0,1.48,25.0,18.0,29.7,18.9,0.15,0.38,19.0,12.0,0.0,0.0,0.0,0.0,50.0,14.0,15.0,2024-2025,0.0,31.0,57.0,57.0,12.0,13.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8490566037735848,2.7735849056603774,1.9245283018867922,0.3962264150943396,0.0,0.03962264150943396,0.03962264150943396,0.022641509433962263,0.062264150943396226,0.16981132075471697,0.0,0.16981132075471697,0.0,0.012452830188679244,-0.03962264150943396,-0.03962264150943396,13.81132075471698,15.566037735849056,1.7547169811320753,12.566037735849056,15.792452830188678,3.2264150943396226,1.811320754716981,5.037735849056604,3.2264150943396226,0.03962264150943396,-0.022641509433962263,0.45283018867924524,2.7735849056603774,0.5660377358490566,0.2830188679245283,1.3018867924528301,0.11320754716981131,1.3584905660377358,0.6226415094339622,0.6792452830188679,0.6792452830188679,0.7924528301886792,1.5283018867924527,0.7358490566037735,0.2830188679245283,0.45283018867924524,0.8490566037735848,2.7735849056603774,0.056603773584905655,11.150943396226415,0.45283018867924524,0.9056603773584905,0.33962264150943394,0.5660377358490566,20.71698113207547,1.0188679245283019,0.056603773584905655,0.7358490566037735,0.3962264150943396,1.4150943396226414,1.0188679245283019,1.6811320754716979,1.0698113207547169,1.0754716981132075,0.6792452830188679,0.0,0.0,0.0,0.0,2.830188679245283,0.7924528301886792,0.8490566037735848
Adam Webster,Brighton,887.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,63.0,2.0,1.0,0.0,0.2,0.2,0.5,0.7,5.0,1.0,0.05,-0.2,-0.2,242.0,257.0,333.0,354.0,53.0,97.0,0.3,-0.5,3.0,64.0,2.0,0.0,14.0,4.0,10.0,5.0,6.0,6.0,14.0,9.0,7.0,20.0,41.0,2.0,43.0,15.0,3.0,1.0,476.0,6.0,0.0,5.0,1.0,2.29,26.0,11.0,19.0,14.3,1.81,0.49,7.0,2.0,1.0,0.0,1.0,0.0,35.0,24.0,6.0,2024-2025,0.0,15.0,21.0,44.0,4.0,8.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8117249154453212,6.392333709131905,0.2029312288613303,0.10146561443066515,0.0,0.020293122886133035,0.020293122886133035,0.050732807215332576,0.07102593010146561,0.5073280721533258,0.10146561443066515,0.4058624577226606,0.10146561443066515,0.005073280721533259,-0.020293122886133035,-0.020293122886133035,24.55467869222097,26.076662908680948,1.5219842164599773,33.788049605411494,35.918827508455465,2.130777903043968,5.3776775648252535,9.842164599774522,4.464487034949267,0.03043968432919955,-0.050732807215332576,0.30439684329199546,6.49379932356257,0.2029312288613303,0.0,1.4205186020293121,0.4058624577226606,1.0146561443066515,0.5073280721533258,0.6087936865839909,0.4058624577226606,0.6087936865839909,1.4205186020293121,0.8117249154453212,0.9131905298759865,0.7102593010146561,2.029312288613303,4.160090191657272,0.2029312288613303,4.363021420518602,1.5219842164599773,0.30439684329199546,0.10146561443066515,0.2029312288613303,48.297632468996625,0.6087936865839909,0.0,0.5073280721533258,0.10146561443066515,2.638105975197294,1.1161217587373167,1.927846674182638,1.4509582863585118,0.7102593010146561,0.2029312288613303,0.10146561443066515,0.0,0.10146561443066515,0.0,3.5512965050732808,2.4351747463359636,0.6087936865839909
